second, bytes
0, 0
1, 0
2, 269
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 2712
10, 4850
11, 5820
12, 5754
13, 4652
14, 4850
15, 5688
16, 4012
17, 5820
18, 4586
19, 5820
20, 4850
21, 5820
22, 4718
23, 4012
24, 4850
25, 5820
26, 4784
27, 4916
28, 4784
29, 1036
30, 0
31, 0
32, 0
33, 0
34, 467
35, 0
36, 0
37, 0
38, 0
39, 0
40, 0
41, 0
42, 0
43, 0
44, 3277
45, 4799
46, 4236
47, 4104
48, 3541
49, 3475
50, 4170
51, 4170
52, 3409
53, 4170
54, 3475
55, 3541
56, 4038
57, 2912
58, 4104
59, 2846
60, 4104
61, 2582
62, 4170
63, 3409
64, 3541
65, 1390
66, 0
67, 0
68, 467
69, 0
70, 0
71, 0
72, 0
73, 0
74, 0
75, 0
76, 0
77, 916
78, 1145
79, 1374
80, 1145
81, 1374
82, 1374
83, 1374
84, 1374
85, 1145
86, 916
87, 1374
88, 1145
89, 1145
90, 916
91, 1145
92, 1145
93, 1145
94, 1145
95, 1374
96, 916
97, 1145
98, 0
99, 0
