second, bytes
0, 0
1, 0
2, 0
3, 0
4, 0
5, 0
6, 0
7, 0
8, 0
9, 0
10, 0
11, 0
12, 0
13, 0
14, 0
15, 0
16, 0
17, 0
18, 0
19, 0
20, 652
21, 978
22, 815
23, 912
24, 1044
25, 978
26, 1075
27, 978
28, 881
29, 815
30, 978
31, 652
32, 652
33, 978
34, 652
35, 652
36, 652
37, 815
38, 815
39, 815
40, 815
41, 978
42, 163
43, 0
44, 0
45, 0
46, 0
